ping_id,vehicle_id,operator_id,lat,lon,speed_kmph,recorded_at,received_at
P-0000074,V-01,5,19.19505,72.962636,17.7,2026-06-15T06:57:10+05:30,2026-06-15T06:57:12+05:30
P-0000075,V-01,5,19.194862,72.962348,28.2,2026-06-15T06:57:20+05:30,2026-06-15T06:57:21+05:30
P-0000076,V-01,5,19.194628,72.962097,17.8,2026-06-15T06:57:30+05:30,2026-06-15T06:57:31+05:30
P-0000077,V-01,5,19.19421,72.962334,18.0,2026-06-15T06:57:40+05:30,2026-06-15T06:57:42+05:30
P-0000078,V-01,5,19.194168,72.961657,16.5,2026-06-15T06:57:50+05:30,2026-06-15T06:57:55+05:30
P-0000079,V-01,5,19.193375,72.961522,17.9,2026-06-15T06:58:00+05:30,2026-06-15T06:58:03+05:30
P-0000080,V-01,5,19.193081,72.961351,17.3,2026-06-15T06:58:10+05:30,2026-06-15T06:58:16+05:30
P-0000081,V-01,5,19.193074,72.961107,26.4,2026-06-15T06:58:20+05:30,2026-06-15T06:58:26+05:30
P-0000082,V-01,5,19.192953,72.961103,16.3,2026-06-15T06:58:30+05:30,2026-06-15T06:58:36+05:30
P-0000083,V-01,5,19.192291,72.960494,20.6,2026-06-15T06:58:40+05:30,2026-06-15T06:58:43+05:30
P-0000084,V-01,5,19.191947,72.960636,23.2,2026-06-15T06:58:50+05:30,2026-06-15T06:58:56+05:30
P-0000085,V-01,5,19.191842,72.96024,27.3,2026-06-15T06:59:00+05:30,2026-06-15T06:59:05+05:30
P-0000086,V-01,5,19.19161,72.960138,27.3,2026-06-15T06:59:10+05:30,2026-06-15T06:59:12+05:30
P-0000087,V-01,5,19.19099,72.959704,20.4,2026-06-15T06:59:20+05:30,2026-06-15T06:59:22+05:30
P-0000088,V-01,5,19.190926,72.959653,18.8,2026-06-15T06:59:30+05:30,2026-06-15T06:59:34+05:30
P-0000089,V-01,5,19.190532,72.959354,23.4,2026-06-15T06:59:40+05:30,2026-06-15T06:59:42+05:30
P-0000090,V-01,5,19.190089,72.959087,18.2,2026-06-15T06:59:50+05:30,2026-06-15T06:59:52+05:30
P-0000091,V-01,5,19.18976,72.958843,18.3,2026-06-15T07:00:00+05:30,2026-06-15T07:00:03+05:30
P-0000092,V-01,5,19.189797,72.958405,21.0,2026-06-15T07:00:10+05:30,2026-06-15T07:00:13+05:30
P-0000093,V-01,5,19.189625,72.9586,19.2,2026-06-15T07:00:20+05:30,2026-06-15T07:00:26+05:30
P-0000094,V-01,5,19.189294,72.95819,19.7,2026-06-15T07:00:30+05:30,2026-06-15T07:00:33+05:30
P-0000095,V-01,5,19.188838,72.957887,17.1,2026-06-15T07:00:40+05:30,2026-06-15T07:00:46+05:30
P-0000096,V-01,5,19.18857,72.957525,16.6,2026-06-15T07:00:50+05:30,2026-06-15T07:00:51+05:30
P-0000097,V-01,5,19.188405,72.957281,25.0,2026-06-15T07:01:00+05:30,2026-06-15T07:01:06+05:30
P-0000098,V-01,5,19.187857,72.957183,19.5,2026-06-15T07:01:10+05:30,2026-06-15T07:01:15+05:30
P-0000099,V-01,5,19.187782,72.95692,20.7,2026-06-15T07:01:20+05:30,2026-06-15T07:01:21+05:30
P-0000100,V-01,5,19.187152,72.956809,20.1,2026-06-15T07:01:30+05:30,2026-06-15T07:01:33+05:30
P-0000101,V-01,5,19.186987,72.956698,16.9,2026-06-15T07:01:40+05:30,2026-06-15T07:01:44+05:30
P-0000102,V-01,5,19.186568,72.956104,24.0,2026-06-15T07:01:50+05:30,2026-06-15T07:01:52+05:30
P-0000103,V-01,5,19.186198,72.956019,21.3,2026-06-15T07:02:00+05:30,2026-06-15T07:02:03+05:30
P-0000104,V-01,5,19.186048,72.955952,23.9,2026-06-15T07:02:10+05:30,2026-06-15T07:02:16+05:30
P-0000105,V-01,5,19.185907,72.9554,19.2,2026-06-15T07:02:20+05:30,2026-06-15T07:02:26+05:30
P-0000106,V-01,5,19.185266,72.955545,16.7,2026-06-15T07:02:30+05:30,2026-06-15T07:02:31+05:30
P-0000107,V-01,5,19.185018,72.955279,23.2,2026-06-15T07:02:40+05:30,2026-06-15T07:02:45+05:30
P-0000108,V-01,5,19.184828,72.955046,15.9,2026-06-15T07:02:50+05:30,2026-06-15T07:02:53+05:30
P-0000109,V-01,5,19.184767,72.954577,19.4,2026-06-15T07:03:00+05:30,2026-06-15T07:03:06+05:30
P-0000110,V-01,5,19.18416,72.954393,19.1,2026-06-15T07:03:10+05:30,2026-06-15T07:03:15+05:30
P-0000111,V-01,5,19.183883,72.954321,18.5,2026-06-15T07:03:20+05:30,2026-06-15T07:03:26+05:30
P-0000112,V-01,5,19.1837,72.953841,22.2,2026-06-15T07:03:30+05:30,2026-06-15T07:03:36+05:30
P-0000113,V-01,5,19.183198,72.953594,17.4,2026-06-15T07:03:40+05:30,2026-06-15T07:03:43+05:30
P-0000114,V-01,5,19.183073,72.953393,15.0,2026-06-15T07:03:50+05:30,2026-06-15T07:03:52+05:30
P-0000115,V-01,5,19.182614,72.953296,14.0,2026-06-15T07:04:00+05:30,2026-06-15T07:04:03+05:30
P-0000116,V-01,5,19.182229,72.953128,22.6,2026-06-15T07:04:10+05:30,2026-06-15T07:04:15+05:30
P-0000117,V-01,5,19.182177,72.953028,13.4,2026-06-15T07:04:20+05:30,2026-06-15T07:04:26+05:30
P-0000118,V-01,5,19.181622,72.952771,18.2,2026-06-15T07:04:30+05:30,2026-06-15T07:04:31+05:30
P-0000119,V-01,5,19.181375,72.95228,17.8,2026-06-15T07:04:40+05:30,2026-06-15T07:04:42+05:30
P-0000120,V-01,5,19.181268,72.952503,17.1,2026-06-15T07:04:50+05:30,2026-06-15T07:04:51+05:30
P-0000121,V-01,5,19.181046,72.951937,21.5,2026-06-15T07:05:00+05:30,2026-06-15T07:05:03+05:30
P-0000122,V-01,5,19.180287,72.952013,13.9,2026-06-15T07:05:10+05:30,2026-06-15T07:05:12+05:30
P-0000123,V-01,5,19.180399,72.951851,14.9,2026-06-15T07:05:20+05:30,2026-06-15T07:05:21+05:30
P-0000124,V-01,5,19.179841,72.951193,21.8,2026-06-15T07:05:30+05:30,2026-06-15T07:05:32+05:30
P-0000125,V-01,5,19.179436,72.951116,21.6,2026-06-15T07:05:40+05:30,2026-06-15T07:05:42+05:30
P-0000126,V-01,5,19.179397,72.951151,17.5,2026-06-15T07:05:50+05:30,2026-06-15T07:05:55+05:30
P-0000127,V-01,5,19.178704,72.950903,16.7,2026-06-15T07:06:00+05:30,2026-06-15T07:06:05+05:30
P-0000128,V-01,5,19.178414,72.950467,21.6,2026-06-15T07:06:10+05:30,2026-06-15T07:06:12+05:30
P-0000129,V-01,5,19.17824,72.95021,14.0,2026-06-15T07:06:20+05:30,2026-06-15T07:06:23+05:30
P-0000130,V-01,5,19.177836,72.950053,14.5,2026-06-15T07:06:30+05:30,2026-06-15T07:06:32+05:30
P-0000131,V-01,5,19.177661,72.949984,23.2,2026-06-15T07:06:40+05:30,2026-06-15T07:06:44+05:30
P-0000132,V-01,5,19.177519,72.949657,18.5,2026-06-15T07:06:50+05:30,2026-06-15T07:06:53+05:30
P-0000133,V-01,5,19.176879,72.949342,14.2,2026-06-15T07:07:00+05:30,2026-06-15T07:07:02+05:30
P-0000134,V-01,5,19.176834,72.949184,24.3,2026-06-15T07:07:10+05:30,2026-06-15T07:07:11+05:30
P-0000135,V-01,5,19.176342,72.949073,21.1,2026-06-15T07:07:20+05:30,2026-06-15T07:07:22+05:30
P-0000136,V-01,5,19.176128,72.948907,20.7,2026-06-15T07:07:30+05:30,2026-06-15T07:07:34+05:30
P-0000137,V-01,5,19.175685,72.948639,12.5,2026-06-15T07:07:40+05:30,2026-06-15T07:07:43+05:30
P-0000138,V-01,5,19.175653,72.948541,19.5,2026-06-15T07:07:50+05:30,2026-06-15T07:07:53+05:30
P-0000139,V-01,5,19.174951,72.948504,16.9,2026-06-15T07:08:00+05:30,2026-06-15T07:08:05+05:30
P-0000140,V-01,5,19.174884,72.948004,19.8,2026-06-15T07:08:10+05:30,2026-06-15T07:08:13+05:30
P-0000141,V-01,5,19.174318,72.947945,22.7,2026-06-15T07:08:20+05:30,2026-06-15T07:08:26+05:30
P-0000142,V-01,5,19.173974,72.947854,21.5,2026-06-15T07:08:30+05:30,2026-06-15T07:08:36+05:30
P-0000143,V-01,5,19.173741,72.94755,17.8,2026-06-15T07:08:40+05:30,2026-06-15T07:08:44+05:30
P-0000144,V-01,5,19.173622,72.947058,17.1,2026-06-15T07:08:50+05:30,2026-06-15T07:08:55+05:30
P-0000145,V-01,5,19.17321,72.946942,22.7,2026-06-15T07:09:00+05:30,2026-06-15T07:09:01+05:30
P-0000146,V-01,5,19.173116,72.946705,21.2,2026-06-15T07:09:10+05:30,2026-06-15T07:09:13+05:30
P-0000147,V-01,5,19.172358,72.946472,20.1,2026-06-15T07:09:20+05:30,2026-06-15T07:09:25+05:30
P-0000148,V-01,5,19.172274,72.94657,18.1,2026-06-15T07:09:30+05:30,2026-06-15T07:09:35+05:30
P-0000149,V-01,5,19.171675,72.946031,20.2,2026-06-15T07:09:40+05:30,2026-06-15T07:09:44+05:30
P-0000150,V-01,5,19.171664,72.946146,22.5,2026-06-15T07:09:50+05:30,2026-06-15T07:09:56+05:30
P-0000151,V-01,5,19.171086,72.945534,22.5,2026-06-15T07:10:00+05:30,2026-06-15T07:10:03+05:30
P-0000152,V-01,5,19.171156,72.945672,22.7,2026-06-15T07:10:10+05:30,2026-06-15T07:10:15+05:30
P-0000153,V-01,5,19.170397,72.945466,17.4,2026-06-15T07:10:20+05:30,2026-06-15T07:10:25+05:30
P-0000154,V-01,5,19.170458,72.945289,12.9,2026-06-15T07:10:30+05:30,2026-06-15T07:10:35+05:30
P-0000155,V-01,5,19.170153,72.944965,16.5,2026-06-15T07:10:40+05:30,2026-06-15T07:10:41+05:30
P-0000156,V-01,5,19.169479,72.94453,19.3,2026-06-15T07:10:50+05:30,2026-06-15T07:10:55+05:30
P-0000157,V-01,5,19.169461,72.944655,12.7,2026-06-15T07:11:00+05:30,2026-06-15T07:11:06+05:30
P-0000158,V-01,5,19.169162,72.94428,22.4,2026-06-15T07:11:10+05:30,2026-06-15T07:11:15+05:30
P-0000159,V-01,5,19.168761,72.944114,13.5,2026-06-15T07:11:20+05:30,2026-06-15T07:11:25+05:30
P-0000160,V-01,5,19.168216,72.944031,21.6,2026-06-15T07:11:30+05:30,2026-06-15T07:11:33+05:30
P-0000161,V-01,5,19.168232,72.943699,23.8,2026-06-15T07:11:40+05:30,2026-06-15T07:11:46+05:30
P-0000162,V-01,5,19.168065,72.943171,18.4,2026-06-15T07:11:50+05:30,2026-06-15T07:11:54+05:30
P-0000163,V-01,5,19.167602,72.942729,18.7,2026-06-15T07:12:00+05:30,2026-06-15T07:12:04+05:30
P-0000164,V-01,5,19.16719,72.942756,16.2,2026-06-15T07:12:10+05:30,2026-06-15T07:12:11+05:30
P-0000165,V-01,5,19.166985,72.942327,12.8,2026-06-15T07:12:20+05:30,2026-06-15T07:12:23+05:30
P-0000166,V-01,5,19.167135,72.94205,18.9,2026-06-15T07:12:30+05:30,2026-06-15T07:12:31+05:30
P-0000167,V-01,5,19.166463,72.941835,16.1,2026-06-15T07:12:40+05:30,2026-06-15T07:12:44+05:30
P-0000168,V-01,5,19.166181,72.941715,19.9,2026-06-15T07:12:50+05:30,2026-06-15T07:12:52+05:30
P-0000169,V-01,5,19.16594,72.941278,19.5,2026-06-15T07:13:00+05:30,2026-06-15T07:13:03+05:30
P-0000170,V-01,5,19.165748,72.940863,21.6,2026-06-15T07:13:10+05:30,2026-06-15T07:13:16+05:30
P-0000171,V-01,5,19.165808,72.94075,22.1,2026-06-15T07:13:20+05:30,2026-06-15T07:13:22+05:30
P-0000172,V-01,5,19.165526,72.940405,12.9,2026-06-15T07:13:30+05:30,2026-06-15T07:13:36+05:30
P-0000173,V-01,5,19.165073,72.940002,21.3,2026-06-15T07:13:40+05:30,2026-06-15T07:13:46+05:30
P-0000174,V-01,5,19.164923,72.940071,22.6,2026-06-15T07:13:50+05:30,2026-06-15T07:13:52+05:30
P-0000175,V-01,5,19.164591,72.939396,18.5,2026-06-15T07:14:00+05:30,2026-06-15T07:14:04+05:30
P-0000176,V-01,5,19.164612,72.939356,21.8,2026-06-15T07:14:10+05:30,2026-06-15T07:14:12+05:30
P-0000177,V-01,5,19.163961,72.938786,18.9,2026-06-15T07:14:20+05:30,2026-06-15T07:14:26+05:30
P-0000178,V-01,5,19.163636,72.938827,22.6,2026-06-15T07:14:30+05:30,2026-06-15T07:14:36+05:30
P-0000179,V-01,5,19.163406,72.938208,23.3,2026-06-15T07:14:40+05:30,2026-06-15T07:14:44+05:30
P-0000180,V-01,5,19.163335,72.938016,12.7,2026-06-15T07:14:50+05:30,2026-06-15T07:14:51+05:30
P-0000181,V-01,5,19.162925,72.938028,12.3,2026-06-15T07:15:00+05:30,2026-06-15T07:15:02+05:30
P-0000182,V-01,5,19.163051,72.937658,12.3,2026-06-15T07:15:10+05:30,2026-06-15T07:15:14+05:30
P-0000183,V-01,5,19.162335,72.937104,23.6,2026-06-15T07:15:20+05:30,2026-06-15T07:15:23+05:30
P-0000184,V-01,5,19.162137,72.936847,23.0,2026-06-15T07:15:30+05:30,2026-06-15T07:15:32+05:30
P-0000185,V-01,5,19.16187,72.936505,12.6,2026-06-15T07:15:40+05:30,2026-06-15T07:15:46+05:30
P-0000186,V-01,5,19.161625,72.936386,17.9,2026-06-15T07:15:50+05:30,2026-06-15T07:15:55+05:30
P-0000187,V-01,5,19.161356,72.936424,23.0,2026-06-15T07:16:00+05:30,2026-06-15T07:16:05+05:30
P-0000188,V-01,5,19.161373,72.935683,24.3,2026-06-15T07:16:10+05:30,2026-06-15T07:16:11+05:30
P-0000189,V-01,5,19.160913,72.935472,21.3,2026-06-15T07:16:20+05:30,2026-06-15T07:16:24+05:30
P-0000190,V-01,5,19.160967,72.935249,20.9,2026-06-15T07:16:30+05:30,2026-06-15T07:16:35+05:30
P-0000191,V-01,5,19.160656,72.934969,13.5,2026-06-15T07:16:40+05:30,2026-06-15T07:16:46+05:30
P-0000192,V-01,5,19.16037,72.934765,16.0,2026-06-15T07:16:50+05:30,2026-06-15T07:16:52+05:30
P-0000193,V-01,5,19.159853,72.934305,12.8,2026-06-15T07:17:00+05:30,2026-06-15T07:17:01+05:30
P-0000194,V-01,5,19.160001,72.934405,13.8,2026-06-15T07:17:10+05:30,2026-06-15T07:17:13+05:30
P-0000195,V-01,5,19.159564,72.934051,15.9,2026-06-15T07:17:20+05:30,2026-06-15T07:17:21+05:30
P-0000196,V-01,5,19.159213,72.93361,12.8,2026-06-15T07:17:30+05:30,2026-06-15T07:17:33+05:30
P-0000197,V-01,5,19.159046,72.933207,17.9,2026-06-15T07:17:40+05:30,2026-06-15T07:17:41+05:30
P-0000198,V-01,5,19.158801,72.933104,16.2,2026-06-15T07:17:50+05:30,2026-06-15T07:17:52+05:30
P-0000199,V-01,5,19.158259,72.932826,18.2,2026-06-15T07:18:00+05:30,2026-06-15T07:18:06+05:30
P-0000200,V-01,5,19.158386,72.932486,21.2,2026-06-15T07:18:10+05:30,2026-06-15T07:18:13+05:30
P-0000201,V-01,5,19.158219,72.932355,13.3,2026-06-15T07:18:20+05:30,2026-06-15T07:18:23+05:30
P-0000202,V-01,5,19.1576,72.931966,18.5,2026-06-15T07:18:30+05:30,2026-06-15T07:18:32+05:30
P-0000203,V-01,5,19.15761,72.931665,14.9,2026-06-15T07:18:40+05:30,2026-06-15T07:18:46+05:30
P-0000204,V-01,5,19.157021,72.931398,24.0,2026-06-15T07:18:50+05:30,2026-06-15T07:18:56+05:30
P-0000205,V-01,5,19.157024,72.931299,13.6,2026-06-15T07:19:00+05:30,2026-06-15T07:19:05+05:30
P-0000206,V-01,5,19.15665,72.931045,22.8,2026-06-15T07:19:10+05:30,2026-06-15T07:19:14+05:30
P-0000207,V-01,5,19.156616,72.93068,18.3,2026-06-15T07:19:20+05:30,2026-06-15T07:19:24+05:30
P-0000208,V-01,5,19.156329,72.930344,25.0,2026-06-15T07:19:30+05:30,2026-06-15T07:19:34+05:30
P-0000209,V-01,5,19.156049,72.930077,15.4,2026-06-15T07:19:40+05:30,2026-06-15T07:19:45+05:30
P-0000210,V-01,5,19.155771,72.929658,15.5,2026-06-15T07:19:50+05:30,2026-06-15T07:19:56+05:30
P-0000211,V-01,5,19.15536,72.929614,18.0,2026-06-15T07:20:00+05:30,2026-06-15T07:20:04+05:30
P-0000212,V-01,5,19.154958,72.92901,25.1,2026-06-15T07:20:10+05:30,2026-06-15T07:20:13+05:30
P-0000213,V-01,5,19.154858,72.928928,23.7,2026-06-15T07:20:20+05:30,2026-06-15T07:20:23+05:30
P-0000214,V-01,5,19.154431,72.928375,23.4,2026-06-15T07:20:30+05:30,2026-06-15T07:20:31+05:30
P-0000215,V-01,5,19.154205,72.928059,15.6,2026-06-15T07:20:40+05:30,2026-06-15T07:20:44+05:30
P-0000216,V-01,5,19.154239,72.928193,18.6,2026-06-15T07:20:50+05:30,2026-06-15T07:20:56+05:30
P-0000217,V-01,5,19.153774,72.927697,15.6,2026-06-15T07:21:00+05:30,2026-06-15T07:21:02+05:30
P-0000218,V-01,5,19.153674,72.927322,24.7,2026-06-15T07:21:10+05:30,2026-06-15T07:21:12+05:30
P-0000219,V-01,5,19.153546,72.927077,22.5,2026-06-15T07:21:20+05:30,2026-06-15T07:21:21+05:30
P-0000220,V-01,5,19.153084,72.926755,21.7,2026-06-15T07:21:30+05:30,2026-06-15T07:21:34+05:30
P-0000221,V-01,5,19.152708,72.926711,18.2,2026-06-15T07:21:40+05:30,2026-06-15T07:21:44+05:30
P-0000222,V-01,5,19.152408,72.926546,25.0,2026-06-15T07:21:50+05:30,2026-06-15T07:21:54+05:30
P-0000223,V-01,5,19.152163,72.926142,19.2,2026-06-15T07:22:00+05:30,2026-06-15T07:22:04+05:30
P-0000224,V-01,5,19.151701,72.926249,19.1,2026-06-15T07:22:10+05:30,2026-06-15T07:22:15+05:30
P-0000225,V-01,5,19.151267,72.925888,25.7,2026-06-15T07:22:20+05:30,2026-06-15T07:22:22+05:30
P-0000226,V-01,5,19.151107,72.925799,24.3,2026-06-15T07:22:30+05:30,2026-06-15T07:22:35+05:30
P-0000227,V-01,5,19.15098,72.925657,21.6,2026-06-15T07:22:40+05:30,2026-06-15T07:22:41+05:30
P-0000228,V-01,5,19.150524,72.925156,24.2,2026-06-15T07:22:50+05:30,2026-06-15T07:22:51+05:30
P-0000229,V-01,5,19.15008,72.925195,18.4,2026-06-15T07:23:00+05:30,2026-06-15T07:23:05+05:30
P-0000230,V-01,5,19.149798,72.92496,16.6,2026-06-15T07:23:10+05:30,2026-06-15T07:23:13+05:30
P-0000231,V-01,5,19.149304,72.924877,19.8,2026-06-15T07:23:20+05:30,2026-06-15T07:23:25+05:30
P-0000232,V-01,5,19.148971,72.924581,20.6,2026-06-15T07:23:30+05:30,2026-06-15T07:23:32+05:30
